,ActiveIngredients,List,Product,TherapeuticClass,ATC,PharmaceuticalForm,Status
35,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole Teva 20mg Gastro-resistant Capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Withdrawn
36,OMEPRAZOLE 40 milligram(s),['omeprazole'],Omeprazole Pdr for Soln for Infusion 40mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,POWDER FOR SOLUTION FOR INFUSION,Invalid
37,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazol Arena 20mg Tablets Gastro-Resistant,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT CAPSULE,Authorised
38,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole 20mg Gastro-Resistant Capsules, Hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,"GASTRO-RESISTANT CAPSULE, HARD",Withdrawn
39,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole 20mg Gastro-Resistant Capsules, Hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Withdrawn
40,OMEPRAZOLE 10 milligram(s),['omeprazole'],Losec MUPS 10mg Gastro-resistant Tablets,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT TABLET,Invalid
41,OMEPRAZOLE 40 milligram(s),['omeprazole'],Omeprazol Azevedos 40mg Powder for Solution for Infusion,DRUGS FOR ACID RELATED DISORDERS,A02BC01,POWDER FOR SOLUTION FOR INFUSION,Authorised
42,OMEPRAZOLE 40 milligram(s),['omeprazole'],Omeprazole Normon 40 mg powder for solution for infusion (generic),DRUGS FOR ACID RELATED DISORDERS,A02BC01,POWDER FOR SOLUTION FOR INFUSION,Authorised
43,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole 20 mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Authorised
44,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole Basi 20 mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Authorised
45,OMEPRAZOLE 10 milligram(s),['omeprazole'],Antra MUPS 10 mg enteric coated tablets,DRUGS FOR ACID RELATED DISORDERS,A02BC01,FILM-COATED TABLET,Authorised
46,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole Pinewood 20 mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Authorised
47,OMEPRAZOLE 20 milligram(s),['omeprazole'],Losec Control 20 mg gastro-resistant tablets,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT TABLET,Authorised
48,OMEPRAZOLE 10 milligram(s),['omeprazole'],Omeprazole STADA 10 mg enteric coated hard capsules,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Authorised
49,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole Auro 20 mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT CAPSULE,Authorised
50,HYOSCINE BUTYLBROMIDE 10 milligram(s),['hyoscine butylbromide'],Buscopan Rx 10mg  Coated Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,COATED TABLET,Authorised
51,HYOSCINE BUTYLBROMIDE 10 milligram(s),['hyoscine butylbromide'],Dividol Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,COATED TABLET,Authorised
52,HYOSCINE BUTYLBROMIDE 10 milligram(s),['hyoscine butylbromide'],Buscopan 10mg Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,COATED TABLET,Invalid
53,HYOSCINE BUTYLBROMIDE 10 milligram(s),['hyoscine butylbromide'],Buscopan 10mg Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,COATED TABLET,Invalid
54,HYOSCINE BUTYLBROMIDE 10 milligram(s),['hyoscine butylbromide'],Buscopan Rx 10mg Coated Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,COATED TABLET,Authorised
55,HYOSCINE BUTYLBROMIDE 10 milligram(s),['hyoscine butylbromide'],Buscopan IBS Relief,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,TABLET,Withdrawn
56,HYOSCINE BUTYLBROMIDE 20 milligram(s)/millilitre,['hyoscine butylbromide'],Buscopan Ampoules 20mg/ml solution for injection,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,SOLUTION FOR INJECTION,Withdrawn
57,HYOSCINE BUTYLBROMIDE 10 milligram(s),['hyoscine butylbromide'],Buscopan Tablets 10mg,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,TABLET,Withdrawn
58,HYOSCINE BUTYLBROMIDE 20 milligram(s)/millilitre,['hyoscine butylbromide'],Bysimin 20mg/ml solution for injection,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,SOLUTION FOR INJECTION,Authorised
59,HYOSCINE BUTYLBROMIDE 20 milligram(s)/millilitre,['hyoscine butylbromide'],Buscopan Ampoules 20mg/ml solution for injection,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,SOLUTION FOR INJECTION,Withdrawn
60,HYOSCINE BUTYLBROMIDE 10 milligram(s),['hyoscine butylbromide'],Buscopan IBS Relief,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,TABLET,Withdrawn
61,HYOSCINE BUTYLBROMIDE 20 milligram(s)/millilitre,['hyoscine butylbromide'],Buscopan Ampoules Solution for Injection 20mg/ml,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,SOLUTION FOR INJECTION,Withdrawn
62,HYOSCINE BUTYLBROMIDE 10 milligram(s),['hyoscine butylbromide'],Buscopan Rx 10mg Coated Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03BB01,COATED TABLET,Authorised
63,HYOSCINE BUTYLBROMIDE,['HYOSCINE BUTYLBROMIDE'],Buscopan Ampoules 20mg/ml Solution for injection,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03DB04,SOLUTION FOR INJECTION,Withdrawn
64,HYOSCINE BUTYLBROMIDE 20 milligram(s)/millilitre,['hyoscine butylbromide'],Buscopan Ampoules 20 mg/ml Solution for Injection,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03DB04,SOLUTION FOR INJECTION,Authorised
65,HYOSCINE BUTYLBROMIDE 20 milligram(s)/4 millilitre | PARACETAMOL 600 milligram(s)/4 millilitre,"['hyoscine butylbromide', 'paracetamol']","SPASMO-APOTEL (600+20) mg/4ml, Solution for injection",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03DB04,SOLUTION FOR INJECTION,Authorised
66,PARACETAMOL 500 milligram(s) | HYOSCINE BUTYLBROMIDE 10 milligram(s),"['paracetamol', 'hyoscine butylbromide']",Spasmo-Apotel (500 + 10) mg coated tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03DB04,COATED TABLET,Authorised
67,DOMPERIDONE 30 milligram(s),['domperidone'],Motilium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,SUPPOSITORY,Withdrawn
68,DOMPERIDONE 1 milligram(s)/millilitre,['domperidone'],Motilium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,ORAL SUSPENSION,Withdrawn
69,DOMPERIDONE 10 milligram(s),['domperidone'],Motilium 10mg tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,TABLET,Authorised
70,DOMPERIDONE 10 milligram(s),['domperidone'],Costi 10mg tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,FILM-COATED TABLET,Authorised
71,DOMPERIDONE 10 milligram(s),['domperidone'],Domperidon Actavis 10mg Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,TABLET,Withdrawn
72,DOMPERIDONE 10 milligram(s),['domperidone'],Peptomet 10mg film-coated tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,FILM-COATED TABLET,Authorised
73,DOMPERIDONE 10 milligram(s),['domperidone'],Domperidone 10mg Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,TABLET,Withdrawn
74,DOMPERIDONE 10 milligram(s),['domperidone'],Domerid 10mg Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,TABLET,Withdrawn
75,DOMPERIDONE 10 milligram(s),['domperidone'],Cinet 10mg Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,TABLET,Authorised
76,DOMPERIDONE 1 milligram(s)/millilitre,['domperidone'],Cinet 1mg/ml oral suspension,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,ORAL SUSPENSION,Withdrawn
77,DOMPERIDONE 10 milligram(s),['domperidone'],Motilium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,FILM-COATED TABLET,Invalid
78,DOMPERIDONE 30 milligram(s),['domperidone'],Motilium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,SUPPOSITORY,Withdrawn
79,DOMPERIDONE 10 milligram(s),['domperidone'],Motilium 10mg film-coated tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,FILM-COATED TABLET,Authorised
80,DOMPERIDONE 10 milligram(s),['domperidone'],"Motilium Tablet, film coated 10mg",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,TABLET,Withdrawn
81,DOMPERIDONE 10 milligram(s),['domperidone'],Motilium 10mg film-coated Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,FILM-COATED TABLET,Withdrawn
82,DOMPERIDONE 10 milligram(s),['domperidone'],Motilium 10mg Film-Coated Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,FILM-COATED TABLET,Invalid
83,DOMPERIDONE 10 milligram(s),['domperidone'],DOMPERIDONE BIOGARAN 10 mg film-coated tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,FILM-COATED TABLET,Authorised
84,DOMPERIDONE 1 milligram(s)/millilitre,['domperidone'],Motilium 1mg/ml Oral Suspension,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,ORAL SUSPENSION,Authorised
85,DOMPERIDONE 10 milligram(s),['domperidone'],Motilium Fastmelts 10mg Orodispersible Tablets,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,ORODISPERSIBLE TABLET,Authorised
86,DOMPERIDONE 1 milligram(s)/millilitre,['domperidone'],CINET 1 mg/mL oral suspension,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03FA03,ORAL SUSPENSION,Authorised
87,ONDANSETRON 2 milligram(s)/millilitre,['ondansetron'],Ondansetron 2mg/ml Solution for Injection or Infusion (2ml vial),ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INFUSION OR INJECTION,Authorised
88,ONDANSETRON 8 milligram(s),['ondansetron'],Zofran Tablets 8mg,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Withdrawn
89,ONDANSETRON 2 milligram(s)/millilitre,['ondansetron'],Zofran 4mg/2ml Solution for Injection or Infusion,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INFUSION OR INJECTION,Withdrawn
90,ONDANSETRON 4 milligram(s),['ondansetron'],Ondansetron 4mg film-coated Tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Authorised
91,ONDANSETRON 8 milligram(s),['ondansetron'],Ondansetron 8mg film-coated Tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Authorised
92,ONDANSETRON 4 milligram(s),['ondansetron'],Zofran Tablets 4mg,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Withdrawn
93,ONDANSETRON 4 milligram(s),['ondansetron'],Ondemet 4mg Tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Withdrawn
94,ONDANSETRON 8 milligram(s),['ondansetron'],Ondemet 8mg Tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Withdrawn
95,ONDANSETRON 4 milligram(s),['ondansetron'],Ondansetron BMM Pharma 4mg film-coated Tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Withdrawn
96,ONDANSETRON 8 milligram(s),['ondansetron'],Ondansetron BMM Pharma 8mg film-coated Tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Withdrawn
97,ONDANSETRON 2 milligram(s)/millilitre,['ondansetron'],Ondemet 2mg/ml Injection,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INFUSION OR INJECTION,Withdrawn
98,ONDANSETRON 8 milligram(s),['ondansetron'],"Ondansetron Tablet, film coated 8mg",ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Withdrawn
99,ONDANSETRON 2 milligram(s)/millilitre,['ondansetron'],Ondansetron 2mg/ml Solution for Injection or Infusion (4ml vial),ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INFUSION OR INJECTION,Authorised
100,ONDANSETRON 2 milligram(s)/millilitre,['ondansetron'],Ondansetron Solution for Injection 2mg/ml,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INJECTION,Authorised
101,HYOSCINE HYDROBROMIDE 400 microgram(s),['hyoscine hydrobromide'],Hyoscine Hydrobromide 400mcg/ml Solution for Injection,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INJECTION,Withdrawn
102,ONDANSETRON 4 milligram(s),['ondansetron'],Ondansetron 4mg film-coated Tablet,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,FILM-COATED TABLET,Invalid
103,ONDANSETRON 2 milligram(s)/millilitre,['ondansetron'],Ondansetron Tillomed 2mg/ml Solution for Injection,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INJECTION,Authorised
104,ONDANSETRON 2 milligram(s)/millilitre,['ondansetron'],Ondansetron 2 mg/ml Solution for Injection,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INJECTION,Authorised
105,ONDANSETRON 4 milligram(s),['ondansetron'],Ondansetron Bluefish 4 mg orodispersible tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,DISPERSIBLE TABLET,Authorised
106,ONDANSETRON 4 milligram(s),['ondansetron'],Ondansetron Kabi 2 mg/ml solution for injection (2ml vial),ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INJECTION,Authorised
107,ONDANSETRON 8 milligram(s),['ondansetron'],Ondansetron Kabi 2 mg/ml solution for injection (4ml vial),ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INJECTION,Authorised
108,ONDANSETRON 4 milligram(s),['ondansetron'],"Ondansetron Bluefish, 4 mg  orodispersible  tablets",ANTIEMETICS AND ANTINAUSEANTS,A04AA01,ORODISPERSIBLE TABLET,Authorised
109,ONDANSETRON 2 milligram(s)/millilitre,['ondansetron'],Ondansetron Normon 4 mg/2 mL solution for injection GSP,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INJECTION,Authorised
110,ONDANSETRON 2 milligram(s)/millilitre,['ondansetron'],Ondansetron 2mg/ml Solution for Injection,ANTIEMETICS AND ANTINAUSEANTS,A04AA01,SOLUTION FOR INJECTION,Authorised
111,HYOSCINE HYDROBROMIDE 0.15 milligram(s),['hyoscine hydrobromide'],Joy-rides Tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AD01,CHEWABLE TABLET,Withdrawn
112,HYOSCINE HYDROBROMIDE 400 microgram(s)/millilitre,['hyoscine hydrobromide'],Hyoscine Injection BP 400mcg/ml,ANTIEMETICS AND ANTINAUSEANTS,A04AD01,SOLUTION FOR INJECTION,Withdrawn
113,HYOSCINE HYDROBROMIDE 300 microgram(s),['hyoscine hydrobromide'],Kwells 300mcgs Tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AD01,TABLET,Withdrawn
114,HYOSCINE HYDROBROMIDE 300 microgram(s),['hyoscine hydrobromide'],Kwells 300 microgram Tablets,ANTIEMETICS AND ANTINAUSEANTS,A04AD01,TABLET,Authorised
115,HYOSCINE HYDROBROMIDE 0.04 percent weight/volume,['hyoscine hydrobromide'],Hyoscine Injection BP 400mcg/ml,ANTIEMETICS AND ANTINAUSEANTS,A04AD01,SOLUTION FOR INJECTION,Authorised
116,APREPITANT 80 milligram(s),['aprepitant'],Aprepitant Rontis Capsules Hard 80mg,ANTIEMETICS AND ANTINAUSEANTS,A04AD12,HARD CAPSULE,Withdrawn
117,APREPITANT 125 milligram(s),['aprepitant'],Aprepitant Rontis Capsules Hard 125mg,ANTIEMETICS AND ANTINAUSEANTS,A04AD12,HARD CAPSULE,Withdrawn
118,APREPITANT 80 milligram(s) | APREPITANT 125 milligram(s),"['aprepitant', 'aprepitant']",Aprepitant Rontis Capsules Hard 80mg & 125mg,ANTIEMETICS AND ANTINAUSEANTS,A04AD12,HARD CAPSULE,Withdrawn
119,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],Ursofalk capsules,BILE AND LIVER THERAPY,A05AA02,HARD CAPSULE,Withdrawn
120,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],Ursobil 250mg Hard Capsule,BILE AND LIVER THERAPY,A05AA02,HARD CAPSULE,Authorised
121,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],Ursodeoxycholic acid Capsule 250mg,BILE AND LIVER THERAPY,A05AA02,HARD CAPSULE,Authorised
122,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],Ursodeoxycholic Acid 250mg Hard Capsules,BILE AND LIVER THERAPY,A05AA02,HARD CAPSULE,Authorised
123,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],"Ursonorm 250mg Capsules, hard",BILE AND LIVER THERAPY,A05AA02,HARD CAPSULE,Authorised
124,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],Ursodeoxycholic acid 250mg Hard Capsules,BILE AND LIVER THERAPY,A05AA02,HARD CAPSULE,Authorised
125,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],Ursogal Capsule 250mg / Ursodeoxycholic Acid Capsule 250mg,BILE AND LIVER THERAPY,A05AA02,CAPSULE,Authorised
126,URSODEOXYCHOLIC ACID 150 milligram(s),['ursodeoxycholic acid'],Ursodeoxycholic acid 150 mg tablets,BILE AND LIVER THERAPY,A05AA02,TABLET,Authorised
127,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],Ursogrix 250 mg hard capsules,BILE AND LIVER THERAPY,A05AA02,HARD CAPSULE,Authorised
128,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],"Ursodeoxycholic acid Aurobindo 250 mg capsules, hard",BILE AND LIVER THERAPY,A05AA02,HARD CAPSULE,Authorised
129,URSODEOXYCHOLIC ACID 1500 milligram(s),['ursodeoxycholic acid'],Adisocol 150 mg tablets GSP,BILE AND LIVER THERAPY,A05AA02,TABLET,Authorised
130,URSODEOXYCHOLIC ACID 250 milligram(s),['ursodeoxycholic acid'],Ursogrix 250 mg hard capsules,BILE AND LIVER THERAPY,A05AA02,HARD CAPSULE,Authorised
131,VANCOMYCIN HYDROCHLORIDE 125 milligram(s),['vancomycin hydrochloride'],Vancocin Matrigel Capsules Hard 125mg,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07AA09,HARD CAPSULE,Withdrawn
